column_id,node_i,node_j,bx [mm],by [mm],length [mm],wg [kN/m],wq [kN/m],fcd [MPa],fsyd [MPa],cover [mm],dbl_cor [mm],dbl_int [mm],nblx_int,nbly_int,dbh [mm],sbh [mm],nbh_x,nbh_y,fcm_q [MPa],fsyml_q [MPa],fsymh_q [MPa],sbh_q [mm],cover_q [mm],bondslip_factor_q
1,1,1001,350,350,3100,3.0625,0,10.6667,347.826,30,16,12,0,2,6,150,4,4,19.545,477.811,485.418,151.437,35.3792,1
2,2,1002,400,400,3100,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,24.4962,478.517,475.539,154.897,28.121,1
5,5,1005,400,400,3100,4,0,10.6667,347.826,30,20,16,1,0,6,150,4,4,20.217,479.08,481.775,156.488,30.6707,1
6,6,1006,350,350,3100,3.0625,0,10.6667,347.826,30,16,12,0,2,6,150,4,4,19.445,471.347,490.71,153.633,29.4261,1
7,7,1007,400,400,3100,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,19.1841,475.303,479.093,157.291,29.0789,1
8,8,1008,550,550,3100,7.5625,0,10.6667,347.826,30,25,20,2,1,8,150,5,5,21.1562,490.043,476.099,154.531,31.3614,1
9,9,1009,450,450,3100,5.0625,0,10.6667,347.826,30,20,16,1,1,6,100,4,4,22.4241,481.504,480.857,104.123,28.3094,1
10,10,1010,450,450,3100,5.0625,0,10.6667,347.826,30,20,16,1,1,6,100,4,4,21.4987,481.979,475.092,100.571,30.471,1
11,11,1011,550,550,3100,7.5625,0,10.6667,347.826,30,25,20,2,1,8,150,5,5,19.3049,483.259,477.526,156.868,28.7768,1
12,12,1012,400,400,3100,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,25.1322,488.863,479.083,150.96,32.229,1
13,13,1013,400,400,3100,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,21.4351,477.585,471.127,154.86,27.2804,1
14,14,1014,550,550,3100,7.5625,0,10.6667,347.826,30,25,20,2,1,8,150,5,5,23.3145,474.213,476.499,151.945,28.3133,1
15,15,1015,450,450,3100,5.0625,0,10.6667,347.826,30,20,16,1,1,6,100,4,4,21.5241,480.156,486.501,101.685,31.8062,1
16,16,1016,450,450,3100,5.0625,0,10.6667,347.826,30,20,16,1,1,6,100,4,4,21.4054,475.114,483.694,103.578,29.8972,1
17,17,1017,550,550,3100,7.5625,0,10.6667,347.826,30,25,20,2,1,8,150,5,5,18.6583,487.459,472.456,151.246,24.9762,1
18,18,1018,400,400,3100,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,20.0763,484.56,482.645,153.363,38.5811,1
19,19,1019,350,350,3100,3.0625,0,10.6667,347.826,30,16,12,0,2,6,150,4,4,20.4668,482.785,473.058,155.953,28.8663,1
20,20,1020,400,400,3100,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,22.3649,489.364,474.34,151.702,31.8603,1
21,21,1021,400,400,3100,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,24.064,486.461,472.153,157.47,31.6562,1
22,22,1022,400,400,3100,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,21.2056,489.92,479.731,154.501,26.464,1
23,23,1023,400,400,3100,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,21.394,477.355,477.452,150.829,28.2021,1
24,24,1024,300,300,3100,2.25,0,10.6667,347.826,30,12,12,1,1,6,125,3,3,18.8922,479.099,479.736,125.051,30.8033,1
1001,1001,2001,350,350,2800,3.0625,0,10.6667,347.826,30,16,12,0,2,6,150,4,4,22.2193,481.502,477.487,150.256,28.513,1
1002,1002,2002,400,400,2800,4,0,10.6667,347.826,30,20,16,0,1,6,125,4,4,24.0583,477.669,479.299,130.753,37.7973,1
1005,1005,2005,400,400,2800,4,0,10.6667,347.826,30,20,16,0,1,6,125,4,4,19.8989,484.396,475.858,127.395,28.5514,1
1006,1006,2006,350,350,2800,3.0625,0,10.6667,347.826,30,16,12,0,2,6,150,4,4,16.3837,478.405,487.308,157.462,30.5939,1
1007,1007,2007,400,400,2800,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,19.8738,477.629,473.922,150.685,34.2534,1
1008,1008,2008,550,550,2800,7.5625,0,10.6667,347.826,30,25,20,0,2,8,200,5,5,22.5534,478.448,471.468,205.181,29.7527,1
1009,1009,2009,450,450,2800,5.0625,0,10.6667,347.826,30,20,16,0,2,6,100,4,4,21.2057,474.31,473.529,100.21,33.2376,1
1010,1010,2010,450,450,2800,5.0625,0,10.6667,347.826,30,20,16,0,2,6,100,4,4,24.4907,482.273,478.453,104.342,30.3599,1
1011,1011,2011,550,550,2800,7.5625,0,10.6667,347.826,30,25,20,0,2,8,200,5,5,19.2896,482.15,469.725,202.03,29.301,1
1012,1012,2012,400,400,2800,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,24.7009,482.261,477.83,155.53,30.7605,1
1013,1013,2013,400,400,2800,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,22.2241,480.506,471.371,150.002,30.5513,1
1014,1014,2014,550,550,2800,7.5625,0,10.6667,347.826,30,25,20,0,2,8,200,5,5,25.1386,481.394,481.87,209.093,28.2171,1
1015,1015,2015,450,450,2800,5.0625,0,10.6667,347.826,30,20,16,0,2,6,100,4,4,25.1987,480.967,481.916,102.09,26.3263,1
1016,1016,2016,450,450,2800,5.0625,0,10.6667,347.826,30,20,16,0,2,6,100,4,4,20.871,479.333,479.466,104.74,26.896,1
1017,1017,2017,550,550,2800,7.5625,0,10.6667,347.826,30,25,20,0,2,8,200,5,5,21.7326,479.395,478.601,202.57,24.183,1
1018,1018,2018,400,400,2800,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,18.1375,473.82,481.198,153.956,32.7244,1
1019,1019,2019,350,350,2800,3.0625,0,10.6667,347.826,30,16,12,0,2,6,150,4,4,20.1924,472.977,485.015,152.274,33.2248,1
1020,1020,2020,400,400,2800,4,0,10.6667,347.826,30,20,16,0,1,6,125,4,4,21.1174,485.319,481.857,128.252,35.2496,1
1021,1021,2021,400,400,2800,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,20.3713,482.379,471.577,156.312,28.8396,1
1022,1022,2022,400,400,2800,4,0,10.6667,347.826,30,20,16,0,1,6,150,4,4,20.2555,474.573,482.931,154.569,32.5873,1
1023,1023,2023,400,400,2800,4,0,10.6667,347.826,30,20,16,0,1,6,125,4,4,20.4063,471.565,479.285,128.445,32.3511,1
